Agency,Mode,Month,Riders
King County Department of Metro Transit,Demand Response,1/1/2012,81322
King County Department of Metro Transit,Demand Response,2/1/2012,93458
King County Department of Metro Transit,Demand Response,3/1/2012,99497
King County Department of Metro Transit,Demand Response,4/1/2012,95576
King County Department of Metro Transit,Demand Response,5/1/2012,101273
King County Department of Metro Transit,Demand Response,6/1/2012,92881
King County Department of Metro Transit,Demand Response,7/1/2012,93252
King County Department of Metro Transit,Demand Response,8/1/2012,97683
King County Department of Metro Transit,Demand Response,9/1/2012,88042
King County Department of Metro Transit,Demand Response,10/1/2012,100203
King County Department of Metro Transit,Demand Response,11/1/2012,91161
King County Department of Metro Transit,Demand Response,12/1/2012,85044
King County Department of Metro Transit,Demand Response,1/1/2013,94010
King County Department of Metro Transit,Demand Response,2/1/2013,88791
King County Department of Metro Transit,Demand Response,3/1/2013,95012
King County Department of Metro Transit,Demand Response,4/1/2013,97481
King County Department of Metro Transit,Demand Response,5/1/2013,99526
King County Department of Metro Transit,Demand Response,6/1/2013,89967
King County Department of Metro Transit,Demand Response,7/1/2013,94243
King County Department of Metro Transit,Demand Response,8/1/2013,93538
King County Department of Metro Transit,Demand Response,9/1/2013,86747
King County Department of Metro Transit,Demand Response,10/1/2013,98441
King County Department of Metro Transit,Demand Response,11/1/2013,85117
King County Department of Metro Transit,Demand Response,12/1/2013,80482
King County Department of Metro Transit,Demand Response,1/1/2014,89760
King County Department of Metro Transit,Demand Response,2/1/2014,80405
King County Department of Metro Transit,Demand Response,3/1/2014,87426
King County Department of Metro Transit,Demand Response,4/1/2014,91219
King County Department of Metro Transit,Demand Response,5/1/2014,88900
King County Department of Metro Transit,Demand Response,6/1/2014,83377
King County Department of Metro Transit,Demand Response,7/1/2014,84799
King County Department of Metro Transit,Demand Response,8/1/2014,82018
King County Department of Metro Transit,Demand Response,9/1/2014,80946
King County Department of Metro Transit,Demand Response,10/1/2014,90614
King County Department of Metro Transit,Demand Response,11/1/2014,76389
King County Department of Metro Transit,Demand Response,12/1/2014,76861
King County Department of Metro Transit,Demand Response,1/1/2015,78761
King County Department of Metro Transit,Demand Response,2/1/2015,75234
King County Department of Metro Transit,Demand Response,3/1/2015,80757
King County Department of Metro Transit,Demand Response,4/1/2015,79109
King County Department of Metro Transit,Demand Response,5/1/2015,77368
King County Department of Metro Transit,Demand Response,6/1/2015,76695
King County Department of Metro Transit,Demand Response,7/1/2015,75763
King County Department of Metro Transit,Demand Response,8/1/2015,73699
King County Department of Metro Transit,Demand Response,9/1/2015,71205
King County Department of Metro Transit,Demand Response,10/1/2015,76889
King County Department of Metro Transit,Demand Response,11/1/2015,67696
King County Department of Metro Transit,Demand Response,12/1/2015,69450
King County Department of Metro Transit,Demand Response,1/1/2016,69003
King County Department of Metro Transit,Demand Response,2/1/2016,72120
King County Department of Metro Transit,Demand Response,3/1/2016,77530
King County Department of Metro Transit,Demand Response,4/1/2016,75395
King County Department of Metro Transit,Demand Response,5/1/2016,74815
King County Department of Metro Transit,Demand Response,6/1/2016,73367
King County Department of Metro Transit,Demand Response,7/1/2016,69480
King County Department of Metro Transit,Demand Response,8/1/2016,76378
King County Department of Metro Transit,Demand Response,9/1/2016,71898
King County Department of Metro Transit,Demand Response,10/1/2016,74847
King County Department of Metro Transit,Demand Response,11/1/2016,70426
King County Department of Metro Transit,Demand Response,12/1/2016,65517
King County Department of Metro Transit,Demand Response,1/1/2017,69528
King County Department of Metro Transit,Demand Response,2/1/2017,63363
King County Department of Metro Transit,Demand Response,3/1/2017,76764
King County Department of Metro Transit,Demand Response,4/1/2017,71981
King County Department of Metro Transit,Demand Response,5/1/2017,75959
King County Department of Metro Transit,Demand Response,6/1/2017,72475
King County Department of Metro Transit,Demand Response,7/1/2017,69215
King County Department of Metro Transit,Demand Response,8/1/2017,74755
King County Department of Metro Transit,Demand Response,9/1/2017,67205
King County Department of Metro Transit,Demand Response,10/1/2017,75435
King County Department of Metro Transit,Demand Response,11/1/2017,70504
King County Department of Metro Transit,Demand Response,12/1/2017,66971
King County Department of Metro Transit,Demand Response,1/1/2018,73712
King County Department of Metro Transit,Demand Response,2/1/2018,67250
King County Department of Metro Transit,Demand Response,3/1/2018,74959
King County Department of Metro Transit,Demand Response,4/1/2018,74077
King County Department of Metro Transit,Demand Response,5/1/2018,77958
King County Department of Metro Transit,Demand Response,6/1/2018,72783
King County Department of Metro Transit,Demand Response,7/1/2018,73821
King County Department of Metro Transit,Demand Response,8/1/2018,77780
King County Department of Metro Transit,Demand Response,9/1/2018,68824
King County Department of Metro Transit,Demand Response,10/1/2018,79872
King County Department of Metro Transit,Demand Response,11/1/2018,72742
King County Department of Metro Transit,Demand Response,12/1/2018,69534
King County Department of Metro Transit,Demand Response,1/1/2019,75357
King County Department of Metro Transit,Demand Response,2/1/2019,52494
King County Department of Metro Transit,Demand Response,3/1/2019,74996
King County Department of Metro Transit,Demand Response,4/1/2019,77393
King County Department of Metro Transit,Demand Response,5/1/2019,79347
King County Department of Metro Transit,Demand Response,6/1/2019,73323
King County Department of Metro Transit,Demand Response,7/1/2019,78161
King County Department of Metro Transit,Demand Response,8/1/2019,78350
King County Department of Metro Transit,Demand Response,9/1/2019,73259
King County Department of Metro Transit,Demand Response,10/1/2019,82385
King County Department of Metro Transit,Demand Response,11/1/2019,72116
King County Department of Metro Transit,Demand Response,12/1/2019,70734
